Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Add to Cart,441,0,610,1542.0067659954677,55.76635800002805,21262.365079999996,95.6077097505669,3.5819298283973815,0.0,610,1300,2500,3200,3800,4200,6300,7600,21000,21000,21000
POST,Add to Cart (Fix),176,0,560,2111.8115073409026,58.310737999931916,31689.46710199998,95.56818181818181,1.4295230154148282,0.0,600,2100,2900,3500,4200,5400,21000,21000,32000,32000,32000
POST,Create Order Invoice,332,0,850,1574.355664430722,86.65271200004554,9629.195165000056,249.28012048192772,2.6966002336234256,0.0,850,1600,2200,3100,4100,4400,5200,7100,9600,9600,9600
GET,Get Product List,982,0,610,1708.4689946415458,45.96222999998645,23140.160266000064,2079.0,7.976088642825916,0.0,610,1700,2700,3200,4000,4500,7400,19000,23000,23000,23000
GET,Health Check,239,0,660,1622.047712723848,32.922480000024734,22547.25226599999,44.0,1.941227276614454,0.0,660,1400,2400,2900,3800,4300,6300,18000,23000,23000,23000
POST,Login User,100,0,15000,14767.191793240001,1514.620817999912,37029.54974600004,131.0,0.8122289860311523,0.0,17000,20000,24000,24000,26000,32000,35000,37000,37000,37000,37000
GET,Product Detail,353,0,570,1533.5303425212446,59.354729000006046,18553.311785000005,93.73654390934844,2.867168320689968,0.0,570,1500,2400,3000,3800,4300,5400,10000,19000,19000,19000
PUT,Seed Wallet Funds,100,0,1500,8113.892612890003,50.50989399990158,27368.935640000018,70.0,0.8122289860311523,0.0,1900,9600,20000,22000,23000,26000,26000,27000,27000,27000,27000
POST,Signup User,100,0,19000,18940.853958429994,2723.05410499996,41082.783922999966,129.0,0.8122289860311523,0.0,19000,22000,23000,30000,36000,39000,41000,41000,41000,41000,41000
GET,View Products,624,0,680,1782.0822234182713,44.69087400002536,25918.07002300004,2079.0,5.068308872834391,0.0,690,1800,2800,3300,3900,4200,6900,20000,26000,26000,26000
GET,View Wallet,114,0,860,2106.909657982454,46.26684499999101,21101.778541000043,52.26315789473684,0.9259410440755136,0.0,950,2300,3500,3700,4100,5400,8700,17000,21000,21000,21000
,Aggregated,3561,0,750,2728.310278448465,32.922480000024734,41082.783922999966,1000.6124684077506,28.923474192569333,0.0,750,2100,3100,3600,4800,14000,23000,26000,40000,41000,41000
