Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Add to Cart,269,0,1500,2082.038348684018,188.6228299999857,16183.351002999985,95.5278810408922,2.229167901629936,0.0,1500,1900,2100,2400,3500,8500,12000,15000,16000,16000,16000
POST,Add to Cart (Fix),90,0,1400,2144.2061935222227,131.68622899996762,20850.456608,95.55555555555556,0.745818257050908,0.0,1400,1800,2100,2400,3100,7500,18000,21000,21000,21000,21000
POST,Create Order Invoice,179,0,1900,2410.786115916204,222.48715799997854,12322.178024000039,242.6312849162011,1.4833496445790282,0.0,1900,2300,2600,3000,4500,7500,12000,12000,12000,12000,12000
GET,Get Product List,576,0,1500,2407.0869857812486,100.2792890000137,29646.08861900001,2079.0,4.773236845125811,0.0,1500,2000,2200,2500,3400,8500,18000,20000,30000,30000,30000
GET,Health Check,128,0,1300,1875.7747619140603,138.64739300004203,19875.71064300002,44.0,1.060719298916847,0.0,1400,1900,2200,2400,3000,4500,12000,12000,20000,20000,20000
POST,Login User,100,0,28000,27593.87424883,7979.8956429999635,55874.68250599997,131.0,0.8286869522787866,0.0,28000,32000,34000,34000,41000,46000,53000,56000,56000,56000,56000
GET,Product Detail,210,0,1400,2204.418690690478,146.75307799996062,38570.32694,94.10952380952381,1.740242599785452,0.0,1400,1800,2000,2200,3600,7000,15000,18000,39000,39000,39000
PUT,Seed Wallet Funds,100,0,650,4313.395659679997,136.83675400000084,29160.336711000014,70.0,0.8286869522787866,0.0,650,1200,3000,10000,16000,21000,27000,29000,29000,29000,29000
POST,Signup User,100,0,30000,27883.938608239998,4490.008810999996,52181.177026,129.0,0.8286869522787866,0.0,31000,34000,37000,38000,42000,48000,49000,52000,52000,52000,52000
GET,View Products,326,0,1500,2676.408812874234,145.5598549999877,30208.276399999988,2079.0,2.7015194644288445,0.0,1500,1900,2200,2500,6700,12000,19000,23000,30000,30000,30000
GET,View Wallet,80,0,1400,1837.9766051624945,177.57426599996506,16757.429393999984,52.4375,0.6629495618230293,0.0,1400,1900,2100,2200,2500,3800,12000,17000,17000,17000,17000
,Aggregated,2158,0,1600,4760.312807890159,100.2792890000137,55874.68250599997,934.0018535681186,17.883064430176216,0.0,1600,2100,2600,3300,16000,28000,36000,40000,52000,56000,56000
